Source URL,Target URL,Status,Notes
lifequality.org.in/dhyana-meditation.html,https://lifequality.org.in/Yoga/meditation.html,301,Exact legacy redirect; preserve query string
lifequality.org.in/programs/shirodhara.htm,https://lifequality.org.in/programs/shirodhara.html,301,Exact legacy redirect; preserve query string
www.lifequality.org.in/surya-yoga/meditation-dhayana,https://lifequality.org.in/Yoga/meditation.html,301,Exact legacy redirect; preserve query string
lifequality.org.in/reviews.html,https://lifequality.org.in/retreat#reviews,301,Exact legacy redirect; preserve query string
lifequality.org.in/Yoga/retreat.html,https://lifequality.org.in/retreat,301,Exact legacy redirect; preserve query string
lifequality.org.in/Components/retreat.html,https://lifequality.org.in/retreat,301,Exact legacy redirect; preserve query string
lifequality.org.in/programs/retreat.html,https://lifequality.org.in/retreat,301,Exact legacy redirect; preserve query string
lifequality.org.in/LifeStyle/retreat.html,https://lifequality.org.in/retreat,301,Exact legacy redirect; preserve query string
lifequality.org.in/home,https://lifequality.org.in/,301,Exact legacy redirect; preserve query string
lifequality.org.in/programs/Contact.html,https://lifequality.org.in/Contact.html,301,Exact legacy redirect; preserve query string
lifequality.org.in/LifeStyle/Contact.html,https://lifequality.org.in/Contact.html,301,Exact legacy redirect; preserve query string
lifequality.org.in/physician-consultation.html,https://lifequality.org.in/consultation.html,301,Exact legacy redirect; preserve query string
lifequality.org.in/dietary-advice.html,https://lifequality.org.in/programs/dietary-advice.html,301,Exact legacy redirect; preserve query string
lifequality.org.in/nature-walks.html,https://lifequality.org.in/LifeStyle/nature-walks.html,301,Exact legacy redirect; preserve query string
lifequality.org.in/heal-together.html,https://lifequality.org.in/volunteer.html,301,Exact legacy redirect; preserve query string
lifequality.org.in/why-integrative-medicine.html,https://lifequality.org.in/programs/IntegrativeMedicine.html,301,Exact legacy redirect; preserve query string
lifequality.org.in/shirodhara-therapeutic-massage.html,https://lifequality.org.in/programs/shirodhara.html,301,Exact legacy redirect; preserve query string
lifequality.org.in/pranayama-protocol.html,https://lifequality.org.in/Yoga/pranayama.html,301,Exact legacy redirect; preserve query string
lifequality.org.in/Components/score.html,https://lifequality.org.in/score.html,301,Exact legacy redirect; preserve query string
lifequality.org.in/programs/score.html,https://lifequality.org.in/score.html,301,Exact legacy redirect; preserve query string
lifequality.org.in/Yoga/score.html,https://lifequality.org.in/score.html,301,Exact legacy redirect; preserve query string
lifequality.org.in/About.html,https://lifequality.org.in/equal-society.html,301,Exact legacy redirect; preserve query string
www.lifequality.org.in/lifestyle-counseling,https://lifequality.org.in/LifeStyle/LifeStyleCounseling.html,301,Exact legacy redirect; preserve query string
lifequality.org.in/contact.html,https://lifequality.org.in/Contact.html,301,Exact legacy redirect; preserve query string
lifequality.org.in/Yoga/asana.html,https://lifequality.org.in/Yoga/yoga-asana.html,301,Exact legacy redirect; preserve query string
www.lifequality.org.in/contact,https://lifequality.org.in/Contact.html,301,Exact legacy redirect; preserve query string
www.lifequality.org.in/about-equal-society,https://lifequality.org.in/equal-society.html,301,Exact legacy redirect; preserve query string
www.lifequality.org.in/my-buddy/the-power-of-positive-thinking,https://lifequality.org.in/programs/my-buddy.html,301,Exact legacy redirect; preserve query string
www.lifequality.org.in/sutra-health-home,https://lifequality.org.in/,301,Exact legacy redirect; preserve query string
www.lifequality.org.in/sutra-health-home/physician-consultation,https://lifequality.org.in/consultation.html,301,Exact legacy redirect; preserve query string
lifequality.org.in/retreat.html,https://lifequality.org.in/retreat,301,Exact legacy redirect; preserve query string
lifequality.org.in/index.html,https://lifequality.org.in/,301,Exact legacy redirect; preserve query string
lifequality.org.in/Yoga/yoga-asana,https://lifequality.org.in/Yoga/yoga-asana.html,301,Exact legacy redirect; preserve query string
lifequality.org.in/Yoga/pranayama,https://lifequality.org.in/Yoga/pranayama.html,301,Exact legacy redirect; preserve query string
www.lifequality.org.in/*,https://lifequality.org.in/*,301,General canonicalization; place this rule after exact legacy rule
